asa_grav [m²/g],asa_vol [m²/cm³],av_vf,pore_volume [cm³/g],density [g/cm³],nexc [wt. %],uptake_grav [wt. %],uptake_vol [g H2/L],metal1,metal2,metal3,csd_ref,name1,name2,name3,oms,lcd [Å],pld [Å],LFPD [Å]
3787.24,2234.12,0.81,1.38,0.59,6.08,8.3,53.4,Zn,,,LAWGAS,"[""Terephthalate"", ""Tetradeuteroterephthalate"", ""Benzene-1,4-dicarboxylate"", ""1,4-Benzenedicarboxylate"", ""terephthtalate""]",,,No,15.09,7.94,15.06
3769.3,2230.24,0.8,1.36,0.59,6.06,8.23,53.08,Zn,,,LAWGEW,"[""Terephthalate"", ""Tetradeuteroterephthalate"", ""Benzene-1,4-dicarboxylate"", ""1,4-Benzenedicarboxylate"", ""terephthtalate""]",,,No,15.06,7.94,15.06
3776.08,2230.11,0.8,1.36,0.59,6.07,8.24,53.03,Zn,,,LAWGIA,"[""Terephthalate"", ""Tetradeuteroterephthalate"", ""Benzene-1,4-dicarboxylate"", ""1,4-Benzenedicarboxylate"", ""terephthtalate""]",,,No,15.07,7.94,15.07
3784.84,2230.89,0.8,1.36,0.59,6.08,8.25,52.97,Zn,,,LAWGOG,"[""Terephthalate"", ""Tetradeuteroterephthalate"", ""Benzene-1,4-dicarboxylate"", ""1,4-Benzenedicarboxylate"", ""terephthtalate""]",,,No,15.08,7.94,15.08
3790.06,2231.62,0.8,1.36,0.59,6.08,8.25,52.95,Zn,,,LAWGUM,"[""Terephthalate"", ""Tetradeuteroterephthalate"", ""Benzene-1,4-dicarboxylate"", ""1,4-Benzenedicarboxylate"", ""terephthtalate""]",,,No,15.1,7.93,15.1
3621.79,2232.14,0.81,1.31,0.62,5.88,7.97,53.41,Zn,,,MEJMOE,"[""Terephthalate"", ""Tetradeuteroterephthalate"", ""Benzene-1,4-dicarboxylate"", ""1,4-Benzenedicarboxylate"", ""terephthtalate""]",,,No,13.36,7.21,12.38
3686.83,2174.16,,1.38,0.59,5.96,8.22,52.78,Zn,,,MIBQAR,"[""Terephthalate"", ""Tetradeuteroterephthalate"", ""Benzene-1,4-dicarboxylate"", ""1,4-Benzenedicarboxylate"", ""terephthtalate""]",,,No,,,
3676.45,2195.04,0.81,1.36,0.6,5.94,8.15,53,Zn,,,MIBQAR16,"[""Terephthalate"", ""Tetradeuteroterephthalate"", ""Benzene-1,4-dicarboxylate"", ""1,4-Benzenedicarboxylate"", ""terephthtalate""]",,,No,15,7.96,15
3880.01,2220.51,0.81,1.41,0.57,6.19,8.46,52.88,Ni,,,NEXVET,"[""Terephthalate"", ""Tetradeuteroterephthalate"", ""Benzene-1,4-dicarboxylate"", ""1,4-Benzenedicarboxylate"", ""terephthtalate""]",,,No,15.05,7.95,15.02
3327.89,1422.73,0.84,1.96,0.43,5.51,9.42,44.47,Cr,,,OCUNAC,"[""Terephthalate"", ""Tetradeuteroterephthalate"", ""Benzene-1,4-dicarboxylate"", ""1,4-Benzenedicarboxylate"", ""terephthtalate""]",,,Yes,36.15,14.05,36.15
2312.36,2192.57,0.64,0.68,0.95,4.24,5.09,50.88,Zn,,,ORIBAU,"[""Terephthalate"", ""Tetradeuteroterephthalate"", ""Benzene-1,4-dicarboxylate"", ""1,4-Benzenedicarboxylate"", ""terephthtalate""]",,,No,6.79,5.86,6.79
3806.46,2245.43,0.81,1.38,0.59,6.1,8.32,53.52,Zn,,,PEDRIA,"[""Terephthalate"", ""Tetradeuteroterephthalate"", ""Benzene-1,4-dicarboxylate"", ""1,4-Benzenedicarboxylate"", ""terephthtalate""]",,,No,15.09,7.93,15.08
2227.87,2131.67,0.65,0.68,0.96,4.13,5.02,50.52,Zn,,,PICTIG,"[""Terephthalate"", ""Tetradeuteroterephthalate"", ""Benzene-1,4-dicarboxylate"", ""1,4-Benzenedicarboxylate"", ""terephthtalate""]",,,Yes,7.18,5.2,7.17
3530.9,2266.19,0.76,1.18,0.64,5.76,7.55,52.41,Cr,,,REZXEA,"[""Terephthalate"", ""Tetradeuteroterephthalate"", ""Benzene-1,4-dicarboxylate"", ""1,4-Benzenedicarboxylate"", ""terephthtalate""]",,,Yes,10.58,9.9,10.58
2419.17,2480.47,0.67,0.65,1.03,4.37,5.15,55.71,Zn,,,SEFBOV,"[""Terephthalate"", ""Tetradeuteroterephthalate"", ""Benzene-1,4-dicarboxylate"", ""1,4-Benzenedicarboxylate"", ""terephthtalate""]",,,Yes,5.66,5.15,5.65
3328.7,2474.93,0.68,0.91,0.74,5.51,6.64,52.91,Mg,,,TAGVAB,"[""Terephthalate"", ""Tetradeuteroterephthalate"", ""Benzene-1,4-dicarboxylate"", ""1,4-Benzenedicarboxylate"", ""terephthtalate""]",,,Yes,7.19,5.47,7.19
4090.58,3088.35,0.74,0.98,0.75,6.45,7.57,61.81,Zn,,,UFENAW,"[""Terephthalate"", ""Tetradeuteroterephthalate"", ""Benzene-1,4-dicarboxylate"", ""1,4-Benzenedicarboxylate"", ""terephthtalate""]",,,Yes,7.29,5.36,7.11
3668.64,2221.53,0.8,1.32,0.61,5.93,8.04,52.95,Zn,,,UNIGEE,"[""Terephthalate"", ""Tetradeuteroterephthalate"", ""Benzene-1,4-dicarboxylate"", ""1,4-Benzenedicarboxylate"", ""terephthtalate""]",,,No,14.93,7.83,14.93
3786.57,2233.7,0.8,1.36,0.59,6.08,8.25,53.03,Zn,,,VAZTOG,"[""Terephthalate"", ""Tetradeuteroterephthalate"", ""Benzene-1,4-dicarboxylate"", ""1,4-Benzenedicarboxylate"", ""terephthtalate""]",,,No,15.08,7.94,15.08
3796.89,2246.58,0.81,1.37,0.59,6.09,8.28,53.44,Zn,,,VAZTUM,"[""Terephthalate"", ""Tetradeuteroterephthalate"", ""Benzene-1,4-dicarboxylate"", ""1,4-Benzenedicarboxylate"", ""terephthtalate""]",,,No,15.07,7.94,15.07
4141.5,2153.58,,1.63,0.52,6.51,9.25,53.01,Zn,,,VUSJUP,"[""Terephthalate"", ""Tetradeuteroterephthalate"", ""Benzene-1,4-dicarboxylate"", ""1,4-Benzenedicarboxylate"", ""terephthtalate""]",,,No,,,
3707.61,2204.82,0.8,1.35,0.59,5.98,8.15,52.79,Zn,,,VUSKAW,"[""Terephthalate"", ""Tetradeuteroterephthalate"", ""Benzene-1,4-dicarboxylate"", ""1,4-Benzenedicarboxylate"", ""terephthtalate""]",,,No,14.99,7.97,14.99
3687.46,2192.84,0.8,1.35,0.59,5.96,8.14,52.67,Zn,,,VUSKEA,"[""Terephthalate"", ""Tetradeuteroterephthalate"", ""Benzene-1,4-dicarboxylate"", ""1,4-Benzenedicarboxylate"", ""terephthtalate""]",,,No,15,8,15
4736.81,2190.15,0.84,1.82,0.46,7.23,10.23,52.68,Cr,Cu,,OYERER,"[""nicotinate"", ""pyridine-3-carboxylate"", ""pyrdine-3-carboxylate""]",,,Yes,14.33,11.45,14.01
1845.99,1463.31,0.7,0.88,0.79,3.64,5.23,43.74,Mn,Cr,,OYERIV,"[""nicotinate"", ""pyridine-3-carboxylate"", ""pyrdine-3-carboxylate""]",,,Yes,14.68,11.95,14.68
2942.91,2325.92,0.73,0.92,0.79,5.03,6.33,53.4,Cr,Cd,,OYEROB,"[""nicotinate"", ""pyridine-3-carboxylate"", ""pyrdine-3-carboxylate""]",,,Yes,9.45,7.14,9.45
2282.27,2308.98,0.71,0.71,1.01,4.2,5.15,54.93,Cu,,,JOWFOQ,"[""1,2,4-triazolate"", ""1,2,4-triazole""]",,,Yes,6.88,6.27,6.86
2078.13,1676.14,0.73,0.91,0.81,3.94,5.52,47.17,Cd,,,GUPBOJ03,"[""2-methyl-1H-imidazolate"", ""2-methylimidazolate"", ""2-Methylimidazolate"", ""2-Methylimidazol"", ""2-methylimidazole""]",,,No,20.8,8,20.8
2293.83,1868.84,0.74,0.91,0.81,4.22,5.72,49.43,Cd,,,GUPCAW,"[""2-methyl-1H-imidazolate"", ""2-methylimidazolate"", ""2-Methylimidazolate"", ""2-Methylimidazol"", ""2-methylimidazole""]",,,No,13.65,8.63,13.58
3627.92,2294.44,0.77,1.21,0.63,5.88,7.71,52.86,Cr,Cu,,IGAGUU,"[""4-aminebenzoate""]",,,Yes,16.25,12.97,16.25
2301.23,1666.73,0.78,1.07,0.72,4.22,6.17,47.62,Cd,Cr,,BIHBEB,"[""pyridine-4-carboxylate"", ""4-Pyridinecarboxylate"", ""isonicotonate""]",,,Yes,18.35,17.16,18.35
3693.76,2372.68,0.78,1.21,0.64,5.96,7.77,54.12,Cu,,,IWEVAJ,"[""5-amineisophthalate"", ""5-amideisophthalate""]",,,Yes,13.76,6.68,13.76
3228.1,2130.55,,1.15,0.66,5.39,7.21,51.25,Ni,,,FEWTUY,"[""Isonicotinamide"", ""Isonicotinate""]",,,No,,,
3129.72,2656.63,0.68,0.8,0.85,5.27,6.21,56.16,Cu,,,QIWQES,"[""Isonicotinamide"", ""Isonicotinate""]",,,Yes,6.44,4.4,6.26
2281.31,1726.74,0.66,0.87,0.76,4.2,5.6,44.88,Mn,,,FAKMAH,"[""2,2'-bipyridine"", ""2,2'-Bipyridyl"", ""Bipyridyl""]",,,No,8.51,7.68,8.51
2183.5,2074.33,,0.75,0.95,4.07,5.17,51.81,Cr,,,ZUQVEM,"[""2,2'-bipyridine"", ""2,2'-Bipyridyl"", ""Bipyridyl""]",,,No,,,
2253.69,2250.02,0.69,0.69,1,4.16,5.07,53.29,Zn,,,AGIREP,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,10.93,6.86,7.98
2370.57,2105.25,0.72,0.82,0.89,4.31,5.54,52.07,Cu,,,BODPAN,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,13.15,6.66,13.13
2598.26,2217.93,0.74,0.86,0.85,4.6,5.85,53.09,Zn,,,CEHLAD,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,10.21,5.89,10.09
3608.25,2746.38,0.75,0.98,0.76,5.86,7.08,57.99,Co,,,CIFMEL,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,8.24,5.76,8.24
1937.02,1325.74,0.76,1.11,0.68,3.76,5.95,43.33,Fe,,,CIGXIA,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,28.49,11.83,28.48
2305.8,2036.2,0.72,0.81,0.88,4.23,5.45,50.92,Cu,,,DIHVIB,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,13.28,6.89,13.27
2377.93,2096.71,0.71,0.81,0.88,4.32,5.52,51.48,Cu,,,DIHVIB01,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,13.18,6.64,13.17
2723.91,2168.14,0.73,0.92,0.8,4.76,6.13,52.01,Zn,,,DUPVER,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,9.93,6.47,9.92
2528.73,2426.34,0.7,0.73,0.96,4.51,5.43,55.09,Co,Zn,,EGATAI,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,7.26,4.31,7.26
3418.5,2795.18,0.71,0.87,0.82,5.63,6.64,58.13,Mn,,,FUTCAZ,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,6.79,5.04,6.79
3189.43,2450.96,0.78,1.01,0.77,5.34,6.79,56.01,Zn,,,GIRXUC,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,9.03,6.63,9
2802.89,2399.62,0.73,0.86,0.86,4.86,6.04,55.02,Zn,,,GIRYAJ,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,11.12,6.68,11.12
2377.12,2096.4,0.71,0.81,0.88,4.32,5.52,51.49,Cu,,,LUDLED,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,13.18,6.66,13.18
2404.81,2107.58,0.71,0.81,0.88,4.36,5.54,51.41,Cu,,,LUDLIH,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,13.23,6.67,13.22
2665.61,2181.06,0.7,0.86,0.82,4.69,5.92,51.44,Fe,,,NINVAI,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,11.86,6.41,11.86
3013.21,2298.42,0.77,1.01,0.76,5.12,6.64,54.23,Zn,,,NUBBAP,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,14.05,6.66,11.11
2423.31,2105.53,0.71,0.82,0.87,4.38,5.59,51.41,Cu,,,OQIZUL,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,13.23,6.75,13.21
2244.49,2251.01,0.69,0.68,1,4.15,5.03,53.12,Zn,,,PEPFAT,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,10.92,6.86,7.71
3496.86,2527.72,0.7,0.96,0.72,5.72,6.93,53.81,Mg,,,PEXFAA,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,6.39,4.79,6.39
3759.41,2493.74,0.78,1.18,0.66,6.04,7.75,55.71,Zn,Mg,,QAWDID,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,8.87,6.46,8.76
2702.61,2863.52,0.73,0.69,1.06,4.73,5.55,62.29,Cd,,,QISNAJ,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,6.86,5.4,6.83
2507.71,2865.04,0.74,0.65,1.14,4.49,5.26,63.47,Cd,,,QISNEN,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,6.74,5.4,6.72
2404,2929.79,0.73,0.6,1.22,4.36,5.07,65.15,Cd,,,QISNIR,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,6.57,5.46,6.53
2504.14,2318.33,0.71,0.77,0.93,4.48,5.52,54.08,Zn,,,REGRAY,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,9.46,5.55,9.26
2679.92,2411.03,0.72,0.8,0.9,4.7,5.76,55.01,Zn,,,REGREC,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,7.79,6.48,7.79
2375.58,2060.89,0.72,0.83,0.87,4.32,5.57,51.18,Zn,,,RIFDUG01,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,13.01,6.83,13.01
3284.95,3031.84,0.75,0.81,0.92,5.46,6.41,63.18,Zn,,,RIZXUT,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,7.7,4.85,7.7
3197.76,2340.33,0.78,1.07,0.73,5.35,6.96,54.78,Zn,,,SENWAL,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,8.65,7.37,8.64
3206.24,2511.4,0.76,0.98,0.78,5.36,6.73,56.49,Zn,,,SENWIT,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,8.53,6.5,8.44
3206.36,2382.53,0.78,1.05,0.74,5.36,6.92,55.21,Zn,,,SENWOZ,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,8.93,7.14,8.86
2118.7,2055.14,,0.75,0.97,3.99,5.11,52.27,Cd,,,TAZLIR,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,No,,,
2076.3,2034.77,,0.75,0.98,3.94,5.07,52.38,Cd,,,TAZLOX,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,No,,,
2066.5,2025.17,,0.74,0.98,3.93,5.04,51.98,Cd,,,TAZLUD,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,No,,,
2748.28,2139.65,0.73,0.93,0.78,4.79,6.18,51.31,Co,,,TIVYAZ01,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,8.95,6.92,8.95
1963.29,1337.39,0.76,1.12,0.68,3.79,6,43.52,Cr,,,UDEMEW,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,28.24,11.69,28.23
2471.31,2146.52,0.72,0.83,0.87,4.44,5.66,52.08,Cu,,,UVIPIZ,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,13.16,6.5,13.16
2393.51,2102.35,0.72,0.82,0.88,4.34,5.56,51.7,Cu,,,UXISUR,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,13.21,6.7,13.19
3229.36,2471.66,0.78,1.02,0.77,5.39,6.86,56.33,Zn,,,VEHJID01,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,8.78,6.69,8.25
3030.24,2267.56,0.77,1.03,0.75,5.14,6.71,53.8,Zn,,,VEHJOJ,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,14.1,6.86,11.19
3050.2,2268.42,0.77,1.04,0.74,5.17,6.75,53.85,Zn,,,VEHJUP,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,14.28,6.83,11.23
2351.17,2071.01,0.71,0.81,0.88,4.29,5.49,51.19,Cu,,,WULJUJ,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,13.25,6.7,13.25
2366.6,2081.51,0.71,0.81,0.88,4.31,5.51,51.26,Cu,,,WULKAQ,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,,Yes,13.25,6.68,13.24
